run_id,returncode,out_json,out_log,err_log,seconds,tau,alpha,sigma,beta,bpe_warmstart,bpe_bytes,bpe_words,bpe_tokens,bpe_bytes_per_token,bpe_tokens_per_byte,bpe_fertility,bpe_pcw,bpe_avg_token_chars,bpe_unique_tokens_used,spec_bytes,spec_words,spec_tokens,spec_bytes_per_token,spec_tokens_per_byte,spec_fertility,spec_pcw,spec_avg_token_chars,spec_unique_tokens_used,spec_nsl_vs_bpe
r0011_tau5_alpha0p4_sigma0p4_beta0p15_bpe300,0,sweeps/20260201_214318/json/r0011_tau5_alpha0p4_sigma0p4_beta0p15_bpe300.json,sweeps/20260201_214318/logs/r0011_tau5_alpha0p4_sigma0p4_beta0p15_bpe300.out,sweeps/20260201_214318/logs/r0011_tau5_alpha0p4_sigma0p4_beta0p15_bpe300.err,2313.211,5,0.4,0.4,0.15,300,1141787.000000,213886.000000,414290.000000,2.756009,0.362844,1.936966,0.455336,2.228724,1183.000000,1141787.000000,213886.000000,432634.000000,2.639152,0.378910,2.022732,0.439739,2.134224,1200.000000,1.044278
r0003_tau5_alpha0p4_sigma0p4_beta0p01_bpe300,0,sweeps/20260201_214318/json/r0003_tau5_alpha0p4_sigma0p4_beta0p01_bpe300.json,sweeps/20260201_214318/logs/r0003_tau5_alpha0p4_sigma0p4_beta0p01_bpe300.out,sweeps/20260201_214318/logs/r0003_tau5_alpha0p4_sigma0p4_beta0p01_bpe300.err,2320.971,5,0.4,0.4,0.01,300,1141787.000000,213886.000000,414290.000000,2.756009,0.362844,1.936966,0.455336,2.228724,1183.000000,1141787.000000,213886.000000,432677.000000,2.638890,0.378947,2.022933,0.438813,2.134012,1202.000000,1.044382
r0008_tau5_alpha0p4_sigma0p4_beta0p1_bpe400,0,sweeps/20260201_214318/json/r0008_tau5_alpha0p4_sigma0p4_beta0p1_bpe400.json,sweeps/20260201_214318/logs/r0008_tau5_alpha0p4_sigma0p4_beta0p1_bpe400.out,sweeps/20260201_214318/logs/r0008_tau5_alpha0p4_sigma0p4_beta0p1_bpe400.err,2359.966,5,0.4,0.4,0.1,400,1141787.000000,213886.000000,414290.000000,2.756009,0.362844,1.936966,0.455336,2.228724,1183.000000,1141787.000000,213886.000000,425260.000000,2.684915,0.372451,1.988255,0.437448,2.171232,1193.000000,1.026479
r0016_tau5_alpha0p4_sigma0p4_beta0p2_bpe400,0,sweeps/20260201_214318/json/r0016_tau5_alpha0p4_sigma0p4_beta0p2_bpe400.json,sweeps/20260201_214318/logs/r0016_tau5_alpha0p4_sigma0p4_beta0p2_bpe400.out,sweeps/20260201_214318/logs/r0016_tau5_alpha0p4_sigma0p4_beta0p2_bpe400.err,2372.261,5,0.4,0.4,0.2,400,1141787.000000,213886.000000,414290.000000,2.756009,0.362844,1.936966,0.455336,2.228724,1183.000000,1141787.000000,213886.000000,425100.000000,2.685926,0.372311,1.987507,0.438098,2.172049,1194.000000,1.026093
r0004_tau5_alpha0p4_sigma0p4_beta0p01_bpe400,0,sweeps/20260201_214318/json/r0004_tau5_alpha0p4_sigma0p4_beta0p01_bpe400.json,sweeps/20260201_214318/logs/r0004_tau5_alpha0p4_sigma0p4_beta0p01_bpe400.out,sweeps/20260201_214318/logs/r0004_tau5_alpha0p4_sigma0p4_beta0p01_bpe400.err,2380.888,5,0.4,0.4,0.01,400,1141787.000000,213886.000000,414290.000000,2.756009,0.362844,1.936966,0.455336,2.228724,1183.000000,1141787.000000,213886.000000,424994.000000,2.686596,0.372218,1.987012,0.436560,2.172591,1195.000000,1.025837
r0012_tau5_alpha0p4_sigma0p4_beta0p15_bpe400,0,sweeps/20260201_214318/json/r0012_tau5_alpha0p4_sigma0p4_beta0p15_bpe400.json,sweeps/20260201_214318/logs/r0012_tau5_alpha0p4_sigma0p4_beta0p15_bpe400.out,sweeps/20260201_214318/logs/r0012_tau5_alpha0p4_sigma0p4_beta0p15_bpe400.err,2406.837,5,0.4,0.4,0.15,400,1141787.000000,213886.000000,414290.000000,2.756009,0.362844,1.936966,0.455336,2.228724,1183.000000,1141787.000000,213886.000000,425199.000000,2.685300,0.372398,1.987970,0.437373,2.171543,1193.000000,1.026332
r0017_tau5_alpha0p4_sigma0p6_beta0p01_bpe100,0,sweeps/20260201_214318/json/r0017_tau5_alpha0p4_sigma0p6_beta0p01_bpe100.json,sweeps/20260201_214318/logs/r0017_tau5_alpha0p4_sigma0p6_beta0p01_bpe100.out,sweeps/20260201_214318/logs/r0017_tau5_alpha0p4_sigma0p6_beta0p01_bpe100.err,2167.206,5,0.4,0.6,0.01,100,1141787.000000,213886.000000,414290.000000,2.756009,0.362844,1.936966,0.455336,2.228724,1183.000000,1141787.000000,213886.000000,466111.000000,2.449603,0.408229,2.179250,0.466323,1.980940,1196.000000,1.125084
r0021_tau5_alpha0p4_sigma0p6_beta0p1_bpe100,0,sweeps/20260201_214318/json/r0021_tau5_alpha0p4_sigma0p6_beta0p1_bpe100.json,sweeps/20260201_214318/logs/r0021_tau5_alpha0p4_sigma0p6_beta0p1_bpe100.out,sweeps/20260201_214318/logs/r0021_tau5_alpha0p4_sigma0p6_beta0p1_bpe100.err,2129.447,5,0.4,0.6,0.1,100,1141787.000000,213886.000000,414290.000000,2.756009,0.362844,1.936966,0.455336,2.228724,1183.000000,1141787.000000,213886.000000,465283.000000,2.453962,0.407504,2.175378,0.466449,1.984465,1197.000000,1.123085
r0018_tau5_alpha0p4_sigma0p6_beta0p01_bpe200,0,sweeps/20260201_214318/json/r0018_tau5_alpha0p4_sigma0p6_beta0p01_bpe200.json,sweeps/20260201_214318/logs/r0018_tau5_alpha0p4_sigma0p6_beta0p01_bpe200.out,sweeps/20260201_214318/logs/r0018_tau5_alpha0p4_sigma0p6_beta0p01_bpe200.err,2221.289,5,0.4,0.6,0.01,200,1141787.000000,213886.000000,414290.000000,2.756009,0.362844,1.936966,0.455336,2.228724,1183.000000,1141787.000000,213886.000000,441189.000000,2.587977,0.386402,2.062730,0.447855,2.092840,1191.000000,1.064928
r0022_tau5_alpha0p4_sigma0p6_beta0p1_bpe200,0,sweeps/20260201_214318/json/r0022_tau5_alpha0p4_sigma0p6_beta0p1_bpe200.json,sweeps/20260201_214318/logs/r0022_tau5_alpha0p4_sigma0p6_beta0p1_bpe200.out,sweeps/20260201_214318/logs/r0022_tau5_alpha0p4_sigma0p6_beta0p1_bpe200.err,2197.291,5,0.4,0.6,0.1,200,1141787.000000,213886.000000,414290.000000,2.756009,0.362844,1.936966,0.455336,2.228724,1183.000000,1141787.000000,213886.000000,441357.000000,2.586992,0.386549,2.063515,0.447173,2.092043,1193.000000,1.065333
r0025_tau5_alpha0p4_sigma0p6_beta0p15_bpe100,0,sweeps/20260201_214318/json/r0025_tau5_alpha0p4_sigma0p6_beta0p15_bpe100.json,sweeps/20260201_214318/logs/r0025_tau5_alpha0p4_sigma0p6_beta0p15_bpe100.out,sweeps/20260201_214318/logs/r0025_tau5_alpha0p4_sigma0p6_beta0p15_bpe100.err,2160.778,5,0.4,0.6,0.15,100,1141787.000000,213886.000000,414290.000000,2.756009,0.362844,1.936966,0.455336,2.228724,1183.000000,1141787.000000,213886.000000,465289.000000,2.453931,0.407509,2.175407,0.465098,1.984440,1197.000000,1.123100
r0019_tau5_alpha0p4_sigma0p6_beta0p01_bpe300,0,sweeps/20260201_214318/json/r0019_tau5_alpha0p4_sigma0p6_beta0p01_bpe300.json,sweeps/20260201_214318/logs/r0019_tau5_alpha0p4_sigma0p6_beta0p01_bpe300.out,sweeps/20260201_214318/logs/r0019_tau5_alpha0p4_sigma0p6_beta0p01_bpe300.err,2305.240,5,0.4,0.6,0.01,300,1141787.000000,213886.000000,414290.000000,2.756009,0.362844,1.936966,0.455336,2.228724,1183.000000,1141787.000000,213886.000000,432677.000000,2.638890,0.378947,2.022933,0.438813,2.134012,1202.000000,1.044382
r0023_tau5_alpha0p4_sigma0p6_beta0p1_bpe300,0,sweeps/20260201_214318/json/r0023_tau5_alpha0p4_sigma0p6_beta0p1_bpe300.json,sweeps/20260201_214318/logs/r0023_tau5_alpha0p4_sigma0p6_beta0p1_bpe300.out,sweeps/20260201_214318/logs/r0023_tau5_alpha0p4_sigma0p6_beta0p1_bpe300.err,2250.707,5,0.4,0.6,0.1,300,1141787.000000,213886.000000,414290.000000,2.756009,0.362844,1.936966,0.455336,2.228724,1183.000000,1141787.000000,213886.000000,432579.000000,2.639488,0.378861,2.022475,0.440202,2.134496,1200.000000,1.044145
r0029_tau5_alpha0p4_sigma0p6_beta0p2_bpe100,0,sweeps/20260201_214318/json/r0029_tau5_alpha0p4_sigma0p6_beta0p2_bpe100.json,sweeps/20260201_214318/logs/r0029_tau5_alpha0p4_sigma0p6_beta0p2_bpe100.out,sweeps/20260201_214318/logs/r0029_tau5_alpha0p4_sigma0p6_beta0p2_bpe100.err,2142.658,5,0.4,0.6,0.2,100,1141787.000000,213886.000000,414290.000000,2.756009,0.362844,1.936966,0.455336,2.228724,1183.000000,1141787.000000,213886.000000,465130.000000,2.454770,0.407370,2.174663,0.464411,1.985118,1198.000000,1.122716
r0026_tau5_alpha0p4_sigma0p6_beta0p15_bpe200,0,sweeps/20260201_214318/json/r0026_tau5_alpha0p4_sigma0p6_beta0p15_bpe200.json,sweeps/20260201_214318/logs/r0026_tau5_alpha0p4_sigma0p6_beta0p15_bpe200.out,sweeps/20260201_214318/logs/r0026_tau5_alpha0p4_sigma0p6_beta0p15_bpe200.err,2239.801,5,0.4,0.6,0.15,200,1141787.000000,213886.000000,414290.000000,2.756009,0.362844,1.936966,0.455336,2.228724,1183.000000,1141787.000000,213886.000000,441465.000000,2.586359,0.386644,2.064020,0.447276,2.091532,1191.000000,1.065594
r0030_tau5_alpha0p4_sigma0p6_beta0p2_bpe200,0,sweeps/20260201_214318/json/r0030_tau5_alpha0p4_sigma0p6_beta0p2_bpe200.json,sweeps/20260201_214318/logs/r0030_tau5_alpha0p4_sigma0p6_beta0p2_bpe200.out,sweeps/20260201_214318/logs/r0030_tau5_alpha0p4_sigma0p6_beta0p2_bpe200.err,2214.508,5,0.4,0.6,0.2,200,1141787.000000,213886.000000,414290.000000,2.756009,0.362844,1.936966,0.455336,2.228724,1183.000000,1141787.000000,213886.000000,441486.000000,2.586236,0.386662,2.064118,0.447299,2.091432,1191.000000,1.065645
r0027_tau5_alpha0p4_sigma0p6_beta0p15_bpe300,0,sweeps/20260201_214318/json/r0027_tau5_alpha0p4_sigma0p6_beta0p15_bpe300.json,sweeps/20260201_214318/logs/r0027_tau5_alpha0p4_sigma0p6_beta0p15_bpe300.out,sweeps/20260201_214318/logs/r0027_tau5_alpha0p4_sigma0p6_beta0p15_bpe300.err,2284.496,5,0.4,0.6,0.15,300,1141787.000000,213886.000000,414290.000000,2.756009,0.362844,1.936966,0.455336,2.228724,1183.000000,1141787.000000,213886.000000,432634.000000,2.639152,0.378910,2.022732,0.439739,2.134224,1200.000000,1.044278
r0020_tau5_alpha0p4_sigma0p6_beta0p01_bpe400,0,sweeps/20260201_214318/json/r0020_tau5_alpha0p4_sigma0p6_beta0p01_bpe400.json,sweeps/20260201_214318/logs/r0020_tau5_alpha0p4_sigma0p6_beta0p01_bpe400.out,sweeps/20260201_214318/logs/r0020_tau5_alpha0p4_sigma0p6_beta0p01_bpe400.err,2421.002,5,0.4,0.6,0.01,400,1141787.000000,213886.000000,414290.000000,2.756009,0.362844,1.936966,0.455336,2.228724,1183.000000,1141787.000000,213886.000000,424994.000000,2.686596,0.372218,1.987012,0.436560,2.172591,1195.000000,1.025837
r0024_tau5_alpha0p4_sigma0p6_beta0p1_bpe400,0,sweeps/20260201_214318/json/r0024_tau5_alpha0p4_sigma0p6_beta0p1_bpe400.json,sweeps/20260201_214318/logs/r0024_tau5_alpha0p4_sigma0p6_beta0p1_bpe400.out,sweeps/20260201_214318/logs/r0024_tau5_alpha0p4_sigma0p6_beta0p1_bpe400.err,2388.565,5,0.4,0.6,0.1,400,1141787.000000,213886.000000,414290.000000,2.756009,0.362844,1.936966,0.455336,2.228724,1183.000000,1141787.000000,213886.000000,425260.000000,2.684915,0.372451,1.988255,0.437448,2.171232,1193.000000,1.026479
r0031_tau5_alpha0p4_sigma0p6_beta0p2_bpe300,0,sweeps/20260201_214318/json/r0031_tau5_alpha0p4_sigma0p6_beta0p2_bpe300.json,sweeps/20260201_214318/logs/r0031_tau5_alpha0p4_sigma0p6_beta0p2_bpe300.out,sweeps/20260201_214318/logs/r0031_tau5_alpha0p4_sigma0p6_beta0p2_bpe300.err,2276.418,5,0.4,0.6,0.2,300,1141787.000000,213886.000000,414290.000000,2.756009,0.362844,1.936966,0.455336,2.228724,1183.000000,1141787.000000,213886.000000,432398.000000,2.640593,0.378703,2.021628,0.439716,2.135389,1199.000000,1.043709
r0028_tau5_alpha0p4_sigma0p6_beta0p15_bpe400,0,sweeps/20260201_214318/json/r0028_tau5_alpha0p4_sigma0p6_beta0p15_bpe400.json,sweeps/20260201_214318/logs/r0028_tau5_alpha0p4_sigma0p6_beta0p15_bpe400.out,sweeps/20260201_214318/logs/r0028_tau5_alpha0p4_sigma0p6_beta0p15_bpe400.err,2347.260,5,0.4,0.6,0.15,400,1141787.000000,213886.000000,414290.000000,2.756009,0.362844,1.936966,0.455336,2.228724,1183.000000,1141787.000000,213886.000000,425199.000000,2.685300,0.372398,1.987970,0.437373,2.171543,1193.000000,1.026332
r0032_tau5_alpha0p4_sigma0p6_beta0p2_bpe400,0,sweeps/20260201_214318/json/r0032_tau5_alpha0p4_sigma0p6_beta0p2_bpe400.json,sweeps/20260201_214318/logs/r0032_tau5_alpha0p4_sigma0p6_beta0p2_bpe400.out,sweeps/20260201_214318/logs/r0032_tau5_alpha0p4_sigma0p6_beta0p2_bpe400.err,2362.577,5,0.4,0.6,0.2,400,1141787.000000,213886.000000,414290.000000,2.756009,0.362844,1.936966,0.455336,2.228724,1183.000000,1141787.000000,213886.000000,425100.000000,2.685926,0.372311,1.987507,0.438098,2.172049,1194.000000,1.026093
r0033_tau5_alpha0p4_sigma0p8_beta0p01_bpe100,0,sweeps/20260201_214318/json/r0033_tau5_alpha0p4_sigma0p8_beta0p01_bpe100.json,sweeps/20260201_214318/logs/r0033_tau5_alpha0p4_sigma0p8_beta0p01_bpe100.out,sweeps/20260201_214318/logs/r0033_tau5_alpha0p4_sigma0p8_beta0p01_bpe100.err,2112.273,5,0.4,0.8,0.01,100,1141787.000000,213886.000000,414290.000000,2.756009,0.362844,1.936966,0.455336,2.228724,1183.000000,1141787.000000,213886.000000,466111.000000,2.449603,0.408229,2.179250,0.466323,1.980940,1196.000000,1.125084
r0034_tau5_alpha0p4_sigma0p8_beta0p01_bpe200,0,sweeps/20260201_214318/json/r0034_tau5_alpha0p4_sigma0p8_beta0p01_bpe200.json,sweeps/20260201_214318/logs/r0034_tau5_alpha0p4_sigma0p8_beta0p01_bpe200.out,sweeps/20260201_214318/logs/r0034_tau5_alpha0p4_sigma0p8_beta0p01_bpe200.err,2199.584,5,0.4,0.8,0.01,200,1141787.000000,213886.000000,414290.000000,2.756009,0.362844,1.936966,0.455336,2.228724,1183.000000,1141787.000000,213886.000000,441189.000000,2.587977,0.386402,2.062730,0.447855,2.092840,1191.000000,1.064928
r0037_tau5_alpha0p4_sigma0p8_beta0p1_bpe100,0,sweeps/20260201_214318/json/r0037_tau5_alpha0p4_sigma0p8_beta0p1_bpe100.json,sweeps/20260201_214318/logs/r0037_tau5_alpha0p4_sigma0p8_beta0p1_bpe100.out,sweeps/20260201_214318/logs/r0037_tau5_alpha0p4_sigma0p8_beta0p1_bpe100.err,2163.038,5,0.4,0.8,0.1,100,1141787.000000,213886.000000,414290.000000,2.756009,0.362844,1.936966,0.455336,2.228724,1183.000000,1141787.000000,213886.000000,465283.000000,2.453962,0.407504,2.175378,0.466449,1.984465,1197.000000,1.123085
r0041_tau5_alpha0p4_sigma0p8_beta0p15_bpe100,0,sweeps/20260201_214318/json/r0041_tau5_alpha0p4_sigma0p8_beta0p15_bpe100.json,sweeps/20260201_214318/logs/r0041_tau5_alpha0p4_sigma0p8_beta0p15_bpe100.out,sweeps/20260201_214318/logs/r0041_tau5_alpha0p4_sigma0p8_beta0p15_bpe100.err,2131.207,5,0.4,0.8,0.15,100,1141787.000000,213886.000000,414290.000000,2.756009,0.362844,1.936966,0.455336,2.228724,1183.000000,1141787.000000,213886.000000,465289.000000,2.453931,0.407509,2.175407,0.465098,1.984440,1197.000000,1.123100
r0038_tau5_alpha0p4_sigma0p8_beta0p1_bpe200,0,sweeps/20260201_214318/json/r0038_tau5_alpha0p4_sigma0p8_beta0p1_bpe200.json,sweeps/20260201_214318/logs/r0038_tau5_alpha0p4_sigma0p8_beta0p1_bpe200.out,sweeps/20260201_214318/logs/r0038_tau5_alpha0p4_sigma0p8_beta0p1_bpe200.err,2208.875,5,0.4,0.8,0.1,200,1141787.000000,213886.000000,414290.000000,2.756009,0.362844,1.936966,0.455336,2.228724,1183.000000,1141787.000000,213886.000000,441357.000000,2.586992,0.386549,2.063515,0.447173,2.092043,1193.000000,1.065333
r0035_tau5_alpha0p4_sigma0p8_beta0p01_bpe300,0,sweeps/20260201_214318/json/r0035_tau5_alpha0p4_sigma0p8_beta0p01_bpe300.json,sweeps/20260201_214318/logs/r0035_tau5_alpha0p4_sigma0p8_beta0p01_bpe300.out,sweeps/20260201_214318/logs/r0035_tau5_alpha0p4_sigma0p8_beta0p01_bpe300.err,2322.366,5,0.4,0.8,0.01,300,1141787.000000,213886.000000,414290.000000,2.756009,0.362844,1.936966,0.455336,2.228724,1183.000000,1141787.000000,213886.000000,432677.000000,2.638890,0.378947,2.022933,0.438813,2.134012,1202.000000,1.044382
r0036_tau5_alpha0p4_sigma0p8_beta0p01_bpe400,0,sweeps/20260201_214318/json/r0036_tau5_alpha0p4_sigma0p8_beta0p01_bpe400.json,sweeps/20260201_214318/logs/r0036_tau5_alpha0p4_sigma0p8_beta0p01_bpe400.out,sweeps/20260201_214318/logs/r0036_tau5_alpha0p4_sigma0p8_beta0p01_bpe400.err,2346.176,5,0.4,0.8,0.01,400,1141787.000000,213886.000000,414290.000000,2.756009,0.362844,1.936966,0.455336,2.228724,1183.000000,1141787.000000,213886.000000,424994.000000,2.686596,0.372218,1.987012,0.436560,2.172591,1195.000000,1.025837
r0039_tau5_alpha0p4_sigma0p8_beta0p1_bpe300,0,sweeps/20260201_214318/json/r0039_tau5_alpha0p4_sigma0p8_beta0p1_bpe300.json,sweeps/20260201_214318/logs/r0039_tau5_alpha0p4_sigma0p8_beta0p1_bpe300.out,sweeps/20260201_214318/logs/r0039_tau5_alpha0p4_sigma0p8_beta0p1_bpe300.err,2280.145,5,0.4,0.8,0.1,300,1141787.000000,213886.000000,414290.000000,2.756009,0.362844,1.936966,0.455336,2.228724,1183.000000,1141787.000000,213886.000000,432579.000000,2.639488,0.378861,2.022475,0.440202,2.134496,1200.000000,1.044145
r0042_tau5_alpha0p4_sigma0p8_beta0p15_bpe200,0,sweeps/20260201_214318/json/r0042_tau5_alpha0p4_sigma0p8_beta0p15_bpe200.json,sweeps/20260201_214318/logs/r0042_tau5_alpha0p4_sigma0p8_beta0p15_bpe200.out,sweeps/20260201_214318/logs/r0042_tau5_alpha0p4_sigma0p8_beta0p15_bpe200.err,2208.575,5,0.4,0.8,0.15,200,1141787.000000,213886.000000,414290.000000,2.756009,0.362844,1.936966,0.455336,2.228724,1183.000000,1141787.000000,213886.000000,441465.000000,2.586359,0.386644,2.064020,0.447276,2.091532,1191.000000,1.065594
r0045_tau5_alpha0p4_sigma0p8_beta0p2_bpe100,0,sweeps/20260201_214318/json/r0045_tau5_alpha0p4_sigma0p8_beta0p2_bpe100.json,sweeps/20260201_214318/logs/r0045_tau5_alpha0p4_sigma0p8_beta0p2_bpe100.out,sweeps/20260201_214318/logs/r0045_tau5_alpha0p4_sigma0p8_beta0p2_bpe100.err,2178.219,5,0.4,0.8,0.2,100,1141787.000000,213886.000000,414290.000000,2.756009,0.362844,1.936966,0.455336,2.228724,1183.000000,1141787.000000,213886.000000,465130.000000,2.454770,0.407370,2.174663,0.464411,1.985118,1198.000000,1.122716
r0040_tau5_alpha0p4_sigma0p8_beta0p1_bpe400,0,sweeps/20260201_214318/json/r0040_tau5_alpha0p4_sigma0p8_beta0p1_bpe400.json,sweeps/20260201_214318/logs/r0040_tau5_alpha0p4_sigma0p8_beta0p1_bpe400.out,sweeps/20260201_214318/logs/r0040_tau5_alpha0p4_sigma0p8_beta0p1_bpe400.err,2361.135,5,0.4,0.8,0.1,400,1141787.000000,213886.000000,414290.000000,2.756009,0.362844,1.936966,0.455336,2.228724,1183.000000,1141787.000000,213886.000000,425260.000000,2.684915,0.372451,1.988255,0.437448,2.171232,1193.000000,1.026479
